13	4	16	1	8	6	15	11	12	3	2	10	14	9	5	7	
3	8	10	7	2	12	16	1	11	9	5	14	13	6	4	15	
15	11	5	2	4	9	14	7	6	1	16	13	3	12	8	10	
12	14	9	6	13	3	10	5	7	4	8	15	16	2	11	1	
14	3	15	5	9	11	2	8	13	6	12	7	10	4	1	16	
6	7	8	12	1	14	4	10	5	15	11	16	2	3	13	9	
9	2	13	4	5	7	12	16	1	8	10	3	6	15	14	11	
11	16	1	10	6	15	13	3	14	2	9	4	12	8	7	5	
2	5	3	9	15	16	7	14	4	12	13	11	1	10	6	8	
1	12	6	16	11	8	9	13	10	14	3	2	5	7	15	4	
10	15	7	11	12	2	1	4	8	16	6	5	9	14	3	13	
8	13	4	14	10	5	3	6	15	7	1	9	11	16	12	2	
7	1	2	3	16	13	6	15	9	5	14	8	4	11	10	12	
5	6	12	8	3	4	11	9	16	10	7	1	15	13	2	14	
16	10	11	15	14	1	8	2	3	13	4	12	7	5	9	6	
4	9	14	13	7	10	5	12	2	11	15	6	8	1	16	3	
